#,HBALL,HBW,HBE,HBO,SIZE,M,F,EMP,EDU,AGEA,AGEB,AGEC,AGED,AGEE,DRV,CAR,INC,HHTYP
92,5,2,0,3,2,1,1,0,0,0,0,0,1,1,1,1,5,1
93,7,1,4,2,6,5,1,2,4,2,2,2,0,0,3,1,4.5,1
94,6,2,1,3,3,2,1,1,1,0,1,0,1,1,3,2,9,1
95,5,0,0,5,2,1,1,0,0,0,0,0,0,2,2,1,6,1
96,6,1,0,5,2,1,1,1,0,0,0,0,1,1,2,1,4,1
97,4,1,0,3,2,0,2,1,0,0,1,0,1,0,1,0,3,1
98,6,1,2,3,4,3,1,1,2,2,1,1,0,0,1,1,3,1
99,8,2,2,4,6,4,2,2,2,1,3,0,2,1,3,1,7,1
100,9,4,2,3,5,3,2,3,2,1,2,1,1,0,0,0,4.5,1
101,5,2,0,3,2,1,1,2,0,0,2,0,0,0,1,1,4,1
102,5,2,0,3,2,1,1,2,0,0,1,1,0,0,1,1,3.5,1
103,2,0,0,2,2,1,1,0,0,0,0,0,0,2,0,0,2.5,1
104,12,3,3,6,6,3,3,2,3,2,2,1,1,0,2,2,3,1
105,4,1,1,2,4,2,2,1,1,1,1,1,1,0,1,0,1.5,1
106,2,1,1,0,2,1,1,1,1,0,2,0,0,0,0,0,2,1
107,7,1,5,1,7,3,4,1,5,5,0,2,0,0,0,0,3,1
108,5,2,2,1,6,3,3,1,2,2,2,0,0,0,0,0,3,1
109,4,0,1,3,3,1,2,0,1,0,1,0,2,1,0,0,1,1
110,5,2,0,3,2,1,1,0,0,0,2,0,0,0,2,1,6,1
